"num","REGISTRY_ID"
473,110070456889
474,110069008040
475,110070414297
476,110045289807
477,110068762627
478,110013428754
479,110063229750
480,110034111725
481,110010481950
482,110070240041
483,110017705143
484,110041299804
485,110071670150
486,110070373484
487,110071291493
488,110065002286
489,110071076810
490,110058442797
491,110067218861
492,110020499824
493,110064210580
494,110071804628
495,110040684168
496,110000800054
497,110058378642
498,110071703006
499,110024890867
500,110056195433
501,110010622488
502,110070277823
503,110070684043
504,110068199844
505,110009933144
506,110064143920
507,110039329116
508,110005265300
509,110071531589
510,110044474556
511,110019113252
512,110070397897
513,110070592663
514,110017474785
515,110068318564
516,110070692237
517,110071083112
518,110012548859
519,110070194232
520,110006762066
521,110070333942
522,110070875164
523,110037353994
524,110003533285
525,110040783569
526,110022850654
527,110070349387
528,110017155184
529,110044778283
530,110071656576
531,110070883424
532,110020988181
533,110070331588
534,110006335153
535,110008512868
536,110015543786
537,110055959208
538,110018173714
539,110049478365
540,110030358510
541,110002815847
542,110065336041
543,110070224120
544,110071062039
545,110032251845
546,110070594263
547,110041046855
548,110042310273
549,110071234942
550,110071085838
551,110068786111
552,110019361117
553,110015983676
554,110003891236
555,110072129477
556,110065656828
557,110071018091
558,110002872650
559,110042355386
560,110035464182
561,110071941372
562,110031930891
563,110058512097
564,110032501022
565,110014248091
566,110070061653
567,110021883425
568,110019261984
569,110032820883
570,110070213023
571,110019476985
572,110007013604
573,110012010849
574,110013163628
575,110020396677
576,110030422479
577,110071039916
578,110056246673
579,110071974908
580,110071967763
581,110014229815
582,110002912885
583,110072081718
584,110071878377
585,110071718030
586,110043471935
587,110032543647
588,110020485571
589,110070354189
590,110016681820
591,110001020127
592,110072161228
593,110045789054
594,110018758815
595,110019699913
596,110070280389
597,110005511428
598,110041562779
599,110065958315
600,110068891747
601,110004441952
602,110002806036
603,110071204964
604,110065727477
605,110055144277
606,110070074082
607,110054851022
608,110016878137
609,110034663905
610,110030533698
611,110038447124
612,110022667256
613,110071364551
614,110070609571
615,110010120458
616,110057191248
617,110071654504
618,110011929903
619,110020801417
620,110066563114
621,110013779296
622,110035310847
623,110055706115
624,110044668632
625,110000540905
626,110019244968
627,110064463183
628,110070490940
629,110041448332
630,110019732360
631,110031798080
632,110070213546
633,110019585091
634,110070005931
635,110071402841
636,110071982356
637,110071543368
638,110066710090
639,110014731932
640,110005227959
641,110065805114
642,110070554884
643,110022477577
644,110066376193
645,110070418605
646,110000561927
647,110031921268
648,110025372433
649,110065410683
